2021-10-17 03:42:19.531255|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.6 (2021-06-09 10:22:37)
2021-10-17 03:42:19.546868|INFO    |ServerLibPriv |   |SystemInformation: Windows Server 2012 R2 (9600) x64 (AMD or Intel) Binary: 64bit
2021-10-17 03:42:19.546868|INFO    |ServerLibPriv |   |Using hardware aes
2021-10-17 03:42:19.546868|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2021-10-17 03:42:19.546868|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2021-10-17 03:42:19.546868|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2021-10-17 03:42:19.578115|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2021-10-17 03:42:19.578115|INFO    |Accounting    |   |Licensing Information
2021-10-17 03:42:19.578115|INFO    |Accounting    |   |licensed to       : Anonymous
2021-10-17 03:42:19.578115|INFO    |Accounting    |   |type              : No License
2021-10-17 03:42:19.578115|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2021-10-17 03:42:19.578115|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2021-10-17 03:42:19.578115|INFO    |Accounting    |   |max virtualservers: 1
2021-10-17 03:42:19.578115|INFO    |Accounting    |   |max slots         : 32
2021-10-17 03:42:22.031298|INFO    |              |   |Puzzle precompute time: 2444
2021-10-17 03:42:22.031298|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2021-10-17 03:42:22.031298|INFO    |Query         |   |Using a query thread pool size of 2
2021-10-17 03:42:22.078206|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2021-10-17 03:42:22.078206|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2021-10-17 03:42:22.078206|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2021-10-17 03:42:22.078206|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2021-10-17 04:46:47.870440|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-18 04:46:49.505733|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-19 04:46:50.738737|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-20 04:46:52.542531|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-21 04:46:54.190511|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-22 04:46:55.807642|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-22 04:54:08.958820|ERROR   |UDPServers    |   |远程主机强迫关闭了一个现有的连接。
2021-10-22 05:27:11.370993|ERROR   |UDPServers    |   |远程主机强迫关闭了一个现有的连接。
2021-10-22 05:27:11.370993|ERROR   |UDPServers    |   |远程主机强迫关闭了一个现有的连接。
2021-10-22 05:27:11.386615|ERROR   |UDPServers    |   |远程主机强迫关闭了一个现有的连接。
2021-10-22 06:00:24.320093|ERROR   |UDPServers    |   |远程主机强迫关闭了一个现有的连接。
2021-10-23 04:46:56.661556|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-24 04:46:57.869578|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-25 04:46:59.209027|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-26 04:47:01.194605|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-27 04:47:01.958274|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-28 04:47:03.187202|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-29 04:47:04.019639|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
