2021-10-11 10:02:49.751153|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.6 (2021-06-09 10:22:37)
2021-10-11 10:02:49.751153|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (18363) x64 (AMD or Intel) Binary: 64bit
2021-10-11 10:02:49.751153|INFO    |ServerLibPriv |   |Using hardware aes
2021-10-11 10:02:49.752153|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2021-10-11 10:02:49.752153|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2021-10-11 10:02:49.753154|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2021-10-11 10:02:49.787185|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2021-10-11 10:02:49.791189|INFO    |Accounting    |   |Licensing Information
2021-10-11 10:02:49.791189|INFO    |Accounting    |   |licensed to       : Anonymous
2021-10-11 10:02:49.791189|INFO    |Accounting    |   |type              : No License
2021-10-11 10:02:49.791189|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2021-10-11 10:02:49.791189|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2021-10-11 10:02:49.791189|INFO    |Accounting    |   |max virtualservers: 1
2021-10-11 10:02:49.791189|INFO    |Accounting    |   |max slots         : 32
2021-10-11 10:02:50.489825|INFO    |              |   |Puzzle precompute time: 687
2021-10-11 10:02:50.490826|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2021-10-11 10:02:50.554884|INFO    |Query         |   |Using a query thread pool size of 2
2021-10-11 10:02:50.590917|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2021-10-11 10:02:50.591917|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2021-10-11 10:02:50.592919|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2021-10-11 10:02:50.592919|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
