2024-08-31 10:51:48.837149|INFO    |PktHandler    |1  |Dropping client 738 because of ping timeout 19 0 0
2024-09-03 10:36:59.951059|INFO    |PktHandler    |1  |Dropping client 770 because of ping timeout 19 0 0
2024-09-03 14:54:46.850864|INFO    |PktHandler    |1  |Dropping client 780 because of ping timeout 19 0 0
2024-09-04 12:10:06.383469|INFO    |PktHandler    |1  |Dropping client 790 because of ping timeout 19 0 0
2024-09-04 14:55:06.247167|INFO    |PktHandler    |1  |Dropping client 792 because of ping timeout 19 0 0
2024-09-05 12:55:07.814543|INFO    |PktHandler    |1  |Cleaning up connection because of 3 resends of COMMAND packet
2024-09-05 12:55:07.814543|INFO    |PktHandler    |1  |Dropping client 808 because of resend timeout
2024-09-05 13:00:20.762234|INFO    |PktHandler    |1  |Dropping client 810 because of ping timeout 19 0 0
2024-09-05 14:34:39.867439|INFO    |PktHandler    |1  |Dropping client 814 because of ping timeout 19 0 0
2024-09-06 16:23:07.002383|INFO    |PktHandler    |1  |Dropping client 836 because of ping timeout 19 0 0
2024-09-07 07:21:05.548293|INFO    |PktHandler    |1  |Dropping client 842 because of ping timeout 19 0 0
2024-09-07 14:32:39.901790|INFO    |PktHandler    |1  |Dropping client 843 because of ping timeout 19 0 0
2024-09-08 03:56:14.251885|INFO    |PktHandler    |1  |Dropping client 863 because of ping timeout 19 0 0
2024-09-08 05:02:40.300575|INFO    |PktHandler    |1  |Dropping client 864 because of ping timeout 19 0 0
2024-09-08 06:27:09.804518|INFO    |PktHandler    |1  |Dropping client 868 because of ping timeout 19 0 0
2024-09-08 06:37:23.381809|INFO    |PktHandler    |1  |Dropping client 872 because of ping timeout 19 0 0
2024-09-08 13:48:42.796269|INFO    |PktHandler    |1  |Dropping client 891 because of ping timeout 19 0 0
2024-09-11 10:24:19.278656|INFO    |PktHandler    |1  |Dropping client 915 because of ping timeout 19 0 0
2024-09-11 12:52:26.843943|INFO    |PktHandler    |1  |Dropping client 924 because of ping timeout 19 0 0
2024-09-11 12:57:22.266375|INFO    |PktHandler    |1  |Cleaning up connection because of 9 resends of COMMAND packet
2024-09-11 12:57:22.266375|INFO    |PktHandler    |1  |Dropping client 926 because of resend timeout
2024-09-11 13:33:58.071378|INFO    |PktHandler    |1  |Dropping client 927 because of ping timeout 19 0 0
2024-09-12 13:59:51.762550|INFO    |PktHandler    |1  |Dropping client 945 because of ping timeout 19 0 0
2024-09-12 15:12:01.049685|INFO    |PktHandler    |1  |Dropping client 942 because of ping timeout 19 0 0
2024-09-13 11:44:59.972841|INFO    |PktHandler    |1  |Dropping client 952 because of ping timeout 19 0 0
2024-09-14 09:03:34.268697|INFO    |PktHandler    |1  |Dropping client 967 because of ping timeout 19 0 0
2024-09-17 11:55:19.968428|INFO    |PktHandler    |1  |Dropping client 1042 because of ping timeout 19 0 0
2024-09-18 02:20:21.400098|INFO    |PktHandler    |1  |Dropping client 1055 because of ping timeout 19 0 0
