2022-03-13 03:33:05.481689|ERROR   |ChanClients   |1  |ChanClients() unable to add channel(ID: 28), Error was: channel name is already in use
2022-03-13 03:33:05.481689|ERROR   |ChanClients   |1  |ChanClients() unable to add channel(ID: 6), Error was: invalid channel order
2022-03-13 03:33:05.481689|ERROR   |ChanClients   |1  |ChanClients() unable to add channel(ID: 34), Error was: invalid channel order
2022-03-13 03:33:05.481689|ERROR   |ChanClients   |1  |ChanClients() unable to add channel(ID: 5), Error was: invalid channel order
2022-03-13 03:33:05.481689|ERROR   |ChanClients   |1  |ChanClients() unable to add channel(ID: 19), Error was: invalid channel order
2022-03-13 03:33:05.481689|ERROR   |ChanClients   |1  |ChanClients() unable to add channel(ID: 31), Error was: invalid channel order
2022-03-13 03:33:05.481689|ERROR   |ChanClients   |1  |ChanClients() unable to add channel(ID: 38), Error was: channel name is already in use
2022-03-13 03:33:05.481689|ERROR   |ChanClients   |1  |ChanClients() unable to add channel(ID: 39), Error was: invalid channel order
2022-03-13 03:33:05.481689|ERROR   |ChanClients   |1  |ChanClients() unable to add channel(ID: 40), Error was: invalid channel order
2022-03-13 03:33:05.528567|INFO    |VirtualServerBase|1  |listening on 0.0.0.0:9987, [::]:9987
2022-03-13 03:33:49.950665|INFO    |PktHandler    |1  |Dropping client 4 because of ping timeout 19 0 0
2022-03-13 03:35:27.936146|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:81352788) was added by 'Zhuo_Yun'(id:75) to channel '娱乐区'''(id:44)
2022-03-13 03:35:55.427005|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:1172203919) was added by 'Zhuo_Yun'(id:75) to channel '娱乐/干饭区'(id:45)
2022-03-13 03:36:24.178791|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-1371591198) was added by 'Zhuo_Yun'(id:75) to channel '读书/故事区'(id:46)
