2022-03-08 12:59:49.516339|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.6 (2021-06-09 10:22:37)
2022-03-08 12:59:49.516339|INFO    |ServerLibPriv |   |SystemInformation: Windows Server 2012 R2 (9600) x64 (AMD or Intel) Binary: 64bit
2022-03-08 12:59:49.516339|INFO    |ServerLibPriv |   |Using hardware aes
2022-03-08 12:59:49.516339|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2022-03-08 12:59:49.516339|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2022-03-08 12:59:49.516339|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2022-03-08 12:59:49.563232|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2022-03-08 12:59:49.563232|INFO    |Accounting    |   |Licensing Information
2022-03-08 12:59:49.563232|INFO    |Accounting    |   |licensed to       : Anonymous
2022-03-08 12:59:49.563232|INFO    |Accounting    |   |type              : No License
2022-03-08 12:59:49.563232|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2022-03-08 12:59:49.563232|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2022-03-08 12:59:49.563232|INFO    |Accounting    |   |max virtualservers: 1
2022-03-08 12:59:49.563232|INFO    |Accounting    |   |max slots         : 32
2022-03-08 12:59:52.650124|INFO    |              |   |Puzzle precompute time: 3067
2022-03-08 12:59:52.652091|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2022-03-08 12:59:52.659904|INFO    |Query         |   |Using a query thread pool size of 2
2022-03-08 12:59:52.735097|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2022-03-08 12:59:52.735097|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2022-03-08 12:59:52.735097|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2022-03-08 12:59:52.736073|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2022-03-08 13:09:52.027714|ERROR   |UDPServers    |   |远程主机强迫关闭了一个现有的连接。
2022-03-08 13:20:15.122044|INFO    |Query         |   |query from 5 176.111.173.44:55682 attempted to login with account "$system" and failed!
2022-03-08 13:50:33.108925|INFO    |Query         |   |query from 8 45.9.20.73:41918 attempted to login with account "mysql" and failed!
2022-03-08 13:54:10.829448|INFO    |Query         |   |query from 9 45.9.20.25:22328 attempted to login with account "develop" and failed!
2022-03-08 14:02:11.277182|INFO    |Query         |   |query from 10 193.169.255.199:1774 attempted to login with account "admin1" and failed!
2022-03-08 14:02:14.527212|INFO    |Query         |   |query from 10 193.169.255.199:1774 attempted to login with account "admin1" and failed!
2022-03-08 14:02:17.792838|INFO    |Query         |   |query from 10 193.169.255.199:1774 attempted to login with account "admin1" and failed!
2022-03-08 15:04:25.327870|INFO    |Query         |   |query from 15 45.9.20.25:32954 attempted to login with account "developer" and failed!
2022-03-08 15:08:09.731363|INFO    |Query         |   |query from 16 45.9.20.73:55882 attempted to login with account "mysql" and failed!
2022-03-08 15:20:38.080405|INFO    |Query         |   |query from 19 176.111.173.242:37484 attempted to login with account "admin" and failed!
2022-03-08 16:14:34.930635|INFO    |Query         |   |query from 22 45.9.20.25:43214 attempted to login with account "device" and failed!
2022-03-08 16:25:39.363785|INFO    |Query         |   |query from 25 45.9.20.73:59932 attempted to login with account "mysql" and failed!
2022-03-08 17:24:29.236150|INFO    |Query         |   |query from 30 45.9.20.25:52148 attempted to login with account "devuser" and failed!
2022-03-08 17:43:13.840666|INFO    |Query         |   |query from 33 45.9.20.73:35326 attempted to login with account "mysql" and failed!
2022-03-08 18:12:44.970268|INFO    |Query         |   |query from 36 176.111.173.44:49398 attempted to login with account "02" and failed!
2022-03-08 18:33:24.083619|INFO    |Query         |   |query from 39 45.9.20.25:54296 attempted to login with account "DISKCNT" and failed!
2022-03-08 19:01:13.274579|INFO    |Query         |   |query from 42 45.9.20.73:36368 attempted to login with account "mysql" and failed!
2022-03-08 19:13:16.844516|INFO    |Query         |   |query from 43 176.111.173.242:36584 attempted to login with account "admin" and failed!
2022-03-08 19:42:25.980734|INFO    |Query         |   |query from 47 45.9.20.25:53132 attempted to login with account "display" and failed!
2022-03-08 20:19:24.487800|INFO    |Query         |   |query from 51 45.9.20.73:37330 attempted to login with account "mysql" and failed!
2022-03-08 20:20:07.841302|INFO    |Query         |   |query from 54 193.169.255.199:59272 attempted to login with account "Admin2" and failed!
2022-03-08 20:20:11.106929|INFO    |Query         |   |query from 54 193.169.255.199:59272 attempted to login with account "admin2" and failed!
2022-03-08 20:20:14.373614|INFO    |Query         |   |query from 54 193.169.255.199:59272 attempted to login with account "administrador" and failed!
2022-03-08 20:53:10.932527|INFO    |Query         |   |query from 58 45.9.20.25:60626 attempted to login with account "django" and failed!
2022-03-08 21:38:23.665918|INFO    |Query         |   |query from 61 45.9.20.73:36994 attempted to login with account "mysql" and failed!
2022-03-08 22:04:03.862674|INFO    |Query         |   |query from 64 45.9.20.25:2966 attempted to login with account "dms" and failed!
2022-03-08 22:56:54.409399|INFO    |Query         |   |query from 70 45.9.20.73:35210 attempted to login with account "mysql" and failed!
2022-03-08 23:06:45.357474|INFO    |Query         |   |query from 71 176.111.173.44:50570 attempted to login with account "1" and failed!
2022-03-08 23:06:55.530330|INFO    |Query         |   |query from 72 176.111.173.242:35778 attempted to login with account "admin" and failed!
2022-03-08 23:13:12.871805|INFO    |Query         |   |query from 73 45.9.20.25:5238 attempted to login with account "dni" and failed!
2022-03-09 00:22:25.406858|INFO    |Query         |   |query from 80 45.9.20.25:10142 attempted to login with account "dns" and failed!
2022-03-09 01:32:49.086405|INFO    |Query         |   |query from 83 45.9.20.25:19132 attempted to login with account "docker" and failed!
2022-03-09 02:36:21.689094|INFO    |Query         |   |query from 84 45.9.20.73:59468 attempted to login with account "mysql" and failed!
2022-03-09 02:43:12.024961|INFO    |Query         |   |query from 85 45.9.20.25:29072 attempted to login with account "docker" and failed!
2022-03-09 03:00:31.353227|INFO    |Query         |   |query from 86 176.111.173.242:37898 attempted to login with account "admin" and failed!
2022-03-09 03:24:30.476052|INFO    |Query         |   |query from 87 176.111.173.44:46860 attempted to login with account "12.x" and failed!
