2022-11-02 07:59:33.547828|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.6 (2021-06-09 10:22:37)
2022-11-02 07:59:33.547828|INFO    |ServerLibPriv |   |SystemInformation: Windows Server 2012 R2 (9600) x64 (AMD or Intel) Binary: 64bit
2022-11-02 07:59:33.547828|INFO    |ServerLibPriv |   |Using hardware aes
2022-11-02 07:59:33.547828|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2022-11-02 07:59:33.547828|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2022-11-02 07:59:33.547828|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2022-11-02 07:59:33.563463|INFO    |ServerLibPriv |   |updated server query admin password
2022-11-02 07:59:33.563463|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2022-11-02 07:59:33.563463|CRITICAL|Accounting    |   |The default license has expired. Please use the latest server version.
