2024-04-06 16:14:47.404464|ERROR   |ChanClients   |1  |ChanClients() unable to add channel(ID: 19), Error was: invalid channel order
2024-04-06 16:14:47.404464|ERROR   |ChanClients   |1  |ChanClients() unable to add channel(ID: 31), Error was: invalid channel order
2024-04-06 16:14:47.404464|ERROR   |ChanClients   |1  |ChanClients() unable to add channel(ID: 5), Error was: invalid channel order
2024-04-06 16:14:47.404464|ERROR   |ChanClients   |1  |ChanClients() unable to add channel(ID: 48), Error was: invalid channel order
2024-04-06 16:14:47.404464|ERROR   |ChanClients   |1  |ChanClients() unable to add channel(ID: 49), Error was: invalid channel order
2024-04-06 16:14:47.404464|ERROR   |ChanClients   |1  |ChanClients() unable to add channel(ID: 28), Error was: invalid channel order
2024-04-06 16:14:47.435717|INFO    |VirtualServerBase|1  |listening on 0.0.0.0:9987, [::]:9987
2024-04-06 16:51:45.117121|INFO    |VirtualServer |1  |client '音乐大师'(id:5) was added to channelgroup 'Bot'(id:9) by client 'Zhuo_Yun'(id:75) in channel '挂机区'(id:27)
2024-04-06 16:51:58.138233|INFO    |VirtualServer |1  |client '音乐大师'(id:5) was removed from servergroup 'Normal'(id:7) by client 'Zhuo_Yun'(id:75)
2024-04-07 11:14:34.058548|INFO    |VirtualServer |1  |client '音乐大师（复活赛胜利版）'(id:5) was added to channelgroup 'Bot'(id:9) by client 'Zhuo_Yun'(id:75) in channel '歌房'(id:45)
2024-04-07 11:14:37.351505|INFO    |VirtualServer |1  |client '音乐大师（复活赛胜利版）'(id:5) was added to servergroup 'Normal'(id:7) by client 'Zhuo_Yun'(id:75)
2024-04-08 07:23:02.160835|INFO    |VirtualServer |1  |client '音乐大师（复活赛胜利版）'(id:5) was added to channelgroup 'Bot'(id:9) by client 'Zhuo_Yun'(id:75) in channel '歌房'(id:45)
2024-04-08 08:42:26.381575|INFO    |PktHandler    |1  |Dropping client 21 because of ping timeout 19 0 0
2024-04-08 08:45:12.107887|INFO    |PktHandler    |1  |Dropping client 22 because of ping timeout 19 0 0
2024-04-08 12:10:19.137028|INFO    |PktHandler    |1  |Cleaning up connection because of 15 resends of COMMAND packet
2024-04-08 12:10:19.137028|INFO    |PktHandler    |1  |Dropping client 29 because of resend timeout
2024-04-08 13:07:09.028188|INFO    |PktHandler    |1  |Dropping client 32 because of ping timeout 19 0 0
