2021-10-17 01:50:20.631357|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.6 (2021-06-09 10:22:37)
2021-10-17 01:50:20.631898|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (18363) x64 (AMD or Intel) Binary: 64bit
2021-10-17 01:50:20.631898|INFO    |ServerLibPriv |   |Using hardware aes
2021-10-17 01:50:20.632971|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2021-10-17 01:50:20.632971|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2021-10-17 01:50:20.633502|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2021-10-17 01:50:20.667243|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2021-10-17 01:50:20.671392|INFO    |Accounting    |   |Licensing Information
2021-10-17 01:50:20.671446|INFO    |Accounting    |   |licensed to       : Anonymous
2021-10-17 01:50:20.671446|INFO    |Accounting    |   |type              : No License
2021-10-17 01:50:20.671446|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2021-10-17 01:50:20.671446|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2021-10-17 01:50:20.671446|INFO    |Accounting    |   |max virtualservers: 1
2021-10-17 01:50:20.671446|INFO    |Accounting    |   |max slots         : 32
2021-10-17 01:50:21.464785|INFO    |              |   |Puzzle precompute time: 780
2021-10-17 01:50:21.466790|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2021-10-17 01:50:21.588570|INFO    |Query         |   |Using a query thread pool size of 2
2021-10-17 01:50:21.625621|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2021-10-17 01:50:21.627100|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2021-10-17 01:50:21.627100|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2021-10-17 01:50:21.627641|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
