2022-03-13 03:33:02.302944|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.6 (2021-06-09 10:22:37)
2022-03-13 03:33:02.312723|INFO    |ServerLibPriv |   |SystemInformation: Windows Server 2012 R2 (9600) x64 (AMD or Intel) Binary: 64bit
2022-03-13 03:33:02.312723|INFO    |ServerLibPriv |   |Using hardware aes
2022-03-13 03:33:02.446504|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2022-03-13 03:33:02.446504|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2022-03-13 03:33:02.458222|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2022-03-13 03:33:03.028546|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2022-03-13 03:33:03.091065|INFO    |Accounting    |   |Licensing Information
2022-03-13 03:33:03.091065|INFO    |Accounting    |   |licensed to       : Anonymous
2022-03-13 03:33:03.091065|INFO    |Accounting    |   |type              : No License
2022-03-13 03:33:03.091065|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2022-03-13 03:33:03.091065|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2022-03-13 03:33:03.091065|INFO    |Accounting    |   |max virtualservers: 1
2022-03-13 03:33:03.091065|INFO    |Accounting    |   |max slots         : 32
2022-03-13 03:33:05.387935|INFO    |              |   |Puzzle precompute time: 1548
2022-03-13 03:33:05.387935|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2022-03-13 03:33:05.387935|INFO    |Query         |   |Using a query thread pool size of 2
2022-03-13 03:33:05.434817|ERROR   |VirtualSvrMgr |   |The following channels are invalid and will be deleted. They had either invalid parent channel id, channel order, or duplicate default channel flag 43,42,41
2022-03-13 03:33:05.528567|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2022-03-13 03:33:05.528567|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2022-03-13 03:33:05.528567|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2022-03-13 03:33:05.528567|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2022-03-13 03:36:02.529267|INFO    |Query         |   |query from 1 176.111.173.242:34362 attempted to login with account "admin" and failed!
2022-03-13 04:00:30.563965|INFO    |Query         |   |query from 2 45.9.20.73:37120 attempted to login with account "OLTSEP" and failed!
2022-03-13 04:08:42.020213|INFO    |Query         |   |query from 3 45.9.20.25:28604 attempted to login with account "ftpadmin" and failed!
2022-03-13 05:10:17.453456|INFO    |Query         |   |query from 4 176.111.173.44:45754 attempted to login with account "admin" and failed!
